#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
409.99999999376075,-36650.51926554235,11201.241830578456,-25449.277434963897,299.38291630912676,14.9
419.9999999935243,-36370.39968635503,11252.107291598597,-25118.29239475643,300.3375508240332,14.9
429.9999999932878,-36428.891787773646,11258.4208600457,-25170.470927727947,301.2082292421255,14.9
439.99999999305135,-36750.04575138029,11242.583085482562,-25507.46266589773,299.78382679208084,14.9
449.9999999928149,-36355.255922870165,11033.875261974988,-25321.380660895178,294.61028984407494,14.9
459.9999999925784,-36400.504338885126,10987.46583461436,-25413.038504270764,291.982700655059,14.9
469.99999999234194,-36686.12113948427,11086.545860719285,-25599.575278764984,296.59515639935455,14.9
479.9999999921055,-36405.85801236139,11196.049289677978,-25209.80872268341,298.8052782542428,14.9
489.999999991869,-36726.862160825964,11188.007221839607,-25538.854938986355,298.7044618348962,14.9
499.99999999163254,-36647.5290607918,10896.743722612482,-25750.785338179317,290.83447898419183,14.9
509.99999999139607,-36637.81872338738,11394.531263298737,-25243.287460088646,304.84882557116464,14.9
519.9999999911596,-36503.75688101478,11411.51691971231,-25092.239961302468,304.9317302482107,14.9
529.9999999909231,-36438.438603599076,10962.866604549534,-25475.57199904954,292.71955271054793,14.9
539.9999999906867,-36395.46036201164,11080.658356297039,-25314.8020057146,296.07000228264536,14.9
549.9999999904502,-36441.94829045405,10857.271048790242,-25584.677241663805,290.84904366053127,14.9
559.9999999902137,-36633.52750267331,11050.774894373306,-25582.7526083,295.19942838218736,14.9
569.9999999899773,-36466.13948099709,11251.877018489671,-25214.262462507417,299.86630964768165,14.9
579.9999999897408,-36801.69945921736,11203.015181073573,-25598.684278143784,299.10193648368556,14.9
589.9999999895043,-36523.01550336158,11093.921210489376,-25429.094292872207,296.0453753028295,14.9
599.9999999892678,-36085.73451042495,10904.253803169764,-25181.480707255185,291.7006641533482,14.9
609.9999999890314,-36174.60652618882,10990.774317073783,-25183.83220911504,293.5964667463524,14.9
619.9999999887949,-36705.847612069876,10986.766090247918,-25719.081521821958,294.1335502241987,14.9
629.9999999885584,-36949.17697436596,11158.633331292831,-25790.543643073128,297.57274137360105,14.9
639.999999988322,-36549.793511700824,11168.651283982419,-25381.142227718403,298.1630324837535,14.9
649.9999999880855,-36520.38002829396,11151.365940022495,-25369.01408827147,298.446652526301,14.9
659.999999987849,-36261.67691526368,11143.973185164785,-25117.703730098892,297.999339008176,14.9
669.9999999876126,-36326.25967781506,11504.706713593241,-24821.55296422182,306.96933226711684,14.9
679.9999999873761,-36416.54979763192,11277.794825140076,-25138.754972491843,302.473259644121,14.9
689.9999999871396,-36554.04759374445,10661.939639399103,-25892.107954345345,284.75525669325083,14.9
699.9999999869032,-36652.06105608935,11015.16260986021,-25636.898446229137,294.32054874798206,14.9
709.9999999866667,-36399.262371393925,10898.066681816887,-25501.195689577038,291.3744263888898,14.9
719.9999999864302,-36620.70544098223,11021.94598349806,-25598.75945748417,294.2240899858033,14.9
729.9999999861938,-36567.06970804387,11409.710218132754,-25157.359489911116,305.2937713790644,14.9
739.9999999859573,-36478.88058629138,10939.485781863987,-25539.394804427393,292.8826994287918,14.9
749.9999999857208,-37138.62891216226,11135.075032850547,-26003.553879311716,297.80345674465593,14.9
759.9999999854844,-36909.94053344692,11033.084222642046,-25876.856310804873,294.387772536562,14.9
769.9999999852479,-36475.51195295545,11028.118811471097,-25447.393141484354,295.46088911305634,14.9
779.9999999850114,-36671.267961817306,10999.227238876774,-25672.040722940532,294.36636100136104,14.9
789.999999984775,-36969.209670719116,11259.114794644292,-25710.09487607482,300.20664464170534,14.9
799.9999999845385,-36627.29884232732,11206.981569051472,-25420.317273275847,299.0513258730133,14.9
809.999999984302,-36520.9581241933,11167.4094998511,-25353.5486243422,298.4910641111081,14.9
819.9999999840655,-36564.56358501507,11096.690665217868,-25467.872919797206,296.7306343222336,14.9
829.9999999838291,-36660.36008251175,11107.70414755384,-25552.655934957904,296.80863496591206,14.9
839.9999999835926,-36370.84663116523,11286.015029424974,-25084.831601740254,301.0932751328614,14.9
849.9999999833561,-36367.41708266911,11086.746530579223,-25280.67055208989,295.9939293291953,14.9
859.9999999831197,-36632.50065596923,11052.073661993978,-25580.42699397525,295.2149535266123,14.9
869.9999999828832,-36245.10419793144,11227.711784717374,-25017.392413214067,298.95543966293394,14.9
879.9999999826467,-36283.27758919778,10946.718362524323,-25336.559226673457,291.8516897972013,14.9
889.9999999824103,-36566.132630644395,11020.196872668124,-25545.935757976273,294.543096189242,14.9
899.9999999821738,-36329.02266663696,10731.644980429908,-25597.377686207055,287.15365585386564,14.9
909.9999999819373,-36616.31720998101,11223.510497569761,-25392.80671241125,300.21631055871876,14.9
919.9999999817009,-36425.08976960528,10983.534900102664,-25441.554869502615,294.26941454101416,14.9
929.9999999814644,-36803.885886847675,11131.255780777901,-25672.630106069773,297.50700795459113,14.9
939.9999999812279,-36843.130725895055,10985.401785676746,-25857.72894021831,293.22990214342195,14.9
949.9999999809914,-36783.756112979165,11085.836338731127,-25697.91977424804,296.1476313646689,14.9
959.999999980755,-37169.19457050492,11167.171571583702,-26002.02299892122,298.4126713055767,14.9
969.9999999805185,-36277.018545276005,11083.21042252312,-25193.808122752886,295.7404824520925,14.9
979.999999980282,-36775.05953415122,11152.556428572912,-25622.50310557831,297.8101778163833,14.9
989.9999999800456,-36188.45610608116,11388.960962522006,-24799.495143559157,304.71378484369365,14.9
999.9999999798091,-36914.063214629954,10918.924432830192,-25995.13878179976,291.3162847076152,14.9
1009.9999999795726,-37019.14355384758,11259.23198790369,-25759.91156594389,300.87464331691785,14.9
1019.9999999793362,-36709.922659350974,11145.075973896191,-25564.84668545478,297.53781091175034,14.9
1029.9999999804638,-36522.40936608677,11070.451592171348,-25451.957773915427,296.02478042330097,14.9
1039.999999982501,-36609.975187521166,10816.811848786814,-25793.163338734354,288.187042514938,14.9
1049.9999999845384,-37201.398253254454,11400.323793363395,-25801.07445989106,304.20048688495456,14.9
1059.9999999865756,-36568.32922293853,11069.147370640165,-25499.181852298367,295.9182348250639,14.9
1069.999999988613,-36231.484122622416,11175.428660781894,-25056.055461840522,297.89505348211645,14.9
1079.9999999906502,-36593.47976063781,11255.489617994954,-25337.99014264286,299.9112746766861,14.9
1089.9999999926874,-36727.101889831945,11063.49633067706,-25663.605559154887,295.4859085421225,14.9
