#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
249.99999999754422,-37930.43027729153,10786.279450946335,-27144.150826345198,287.81513845916317,23.2
259.9999999973078,-38173.035096991785,10933.661453571394,-27239.37364342039,292.0594929346708,23.2
269.9999999970713,-38394.18364389933,11137.294427628252,-27256.889216271076,297.2524662268325,23.2
279.99999999683484,-38082.65155980669,11154.429015096728,-26928.222544709963,297.6990141102919,23.2
289.9999999965984,-38236.735826607444,11222.55148495879,-27014.18434164865,299.4441109530012,23.2
299.9999999963619,-38301.53852308264,11012.68423277143,-27288.854290311214,293.17699819151727,23.2
309.99999999612544,-38328.946417047366,11194.604229098715,-27134.34218794865,299.36975674899924,23.3
319.99999999588897,-38298.15443531101,11224.529305654494,-27073.625129656513,299.4664652947178,23.3
329.9999999956525,-38062.53414186475,10900.512500654477,-27162.021641210275,291.03648688337233,23.3
339.99999999541603,-37685.87695479091,11289.37327367644,-26396.50368111447,301.70903302091403,23.3
349.99999999517956,-38047.296233677895,11072.022133342489,-26975.274100335406,296.2560322999333,23.3
359.9999999949431,-38102.643597149625,11047.95761325995,-27054.685983889674,295.6732748329299,23.3
369.9999999947066,-38124.70290588027,10751.599027558053,-27373.103878322217,288.1020678433495,23.3
379.99999999447016,-38178.51605677592,11297.498268859988,-26881.017787915935,301.8786405849713,23.3
389.9999999942337,-38371.4319152515,11064.820576332304,-27306.611338919196,295.47757678443213,23.3
399.9999999939972,-38124.43943317531,11021.21062556383,-27103.22880761148,294.1690524867293,23.3
409.99999999376075,-38536.717929445935,10678.369619520396,-27858.34830992554,284.6866802393596,23.3
419.9999999935243,-37966.943764979034,11419.299720308285,-26547.64404467075,305.3519740381416,23.3
429.9999999932878,-38222.57382516158,11155.564835061035,-27067.00899010054,298.0919730434673,23.3
439.99999999305135,-37831.58429253346,11171.522575348034,-26660.061717185425,298.38381186614885,23.3
449.9999999928149,-38152.31144354287,11064.332754769093,-27087.97868877378,296.54301361940844,23.3
459.9999999925784,-38167.59776001587,10852.041428994484,-27315.55633102139,289.4012825687146,23.3
469.99999999234194,-38412.89704991201,11104.87536669976,-27308.021683212253,295.73309634658307,23.3
479.9999999921055,-37912.41586672243,11174.259627331045,-26738.15623939139,298.82535791210853,23.3
489.999999991869,-38254.18782239451,11085.963759983013,-27168.224062411497,296.0275437745541,23.3
499.99999999163254,-37951.44329087938,11066.95454464321,-26884.488746236173,295.6390751370857,23.3
509.99999999139607,-38313.17878939645,10992.177307997483,-27321.00148139897,293.22851799977894,23.3
519.9999999911596,-37857.70957618891,11187.100573287193,-26670.609002901714,298.6928091923499,23.2
529.9999999909231,-38391.506022313515,10926.155059147837,-27465.350963165678,292.0986302581196,23.2
539.9999999906867,-37958.59000500663,11277.025274533657,-26681.564730472972,299.58772254068896,23.2
549.9999999904502,-38231.48428007675,11037.97032009384,-27193.513959982913,295.3816184768605,23.2
559.9999999902137,-38089.9327136751,11213.818734062104,-26876.113979612997,299.1647908283513,23.2
569.9999999899773,-38189.46273112155,11189.788210131734,-26999.674520989818,299.62612783997747,23.2
579.9999999897408,-38152.85237505322,11161.891051603025,-26990.961323450196,299.02304557893075,23.2
589.9999999895043,-37950.098128481826,11199.080507204048,-26751.01762127778,298.495389451391,23.2
599.9999999892678,-38295.537859026386,10922.553051199291,-27372.984807827095,291.55054377830305,23.2
609.9999999890314,-37954.394126226194,11415.698265659354,-26538.69586056684,305.48839739297665,23.2
619.9999999887949,-38127.090601378564,10818.286120037543,-27308.804481341023,288.212735089653,23.2
629.9999999885584,-38126.02876538894,10987.18572972813,-27138.843035660808,293.1852460349099,23.2
639.999999988322,-38341.26243136477,11037.667659464507,-27303.59477190026,294.6442168736317,23.2
649.9999999880855,-37821.394226130906,11359.926203295421,-26461.468022835485,303.0057950284536,23.2
659.999999987849,-38394.309798200244,10826.033789321405,-27568.27600887884,289.76283196246,23.2
669.9999999876126,-38328.82662401825,10944.408846986831,-27384.41777703142,291.66861358308086,23.2
679.9999999873761,-38414.29347734158,11165.153583016834,-27249.13989432474,298.3764210581601,23.2
689.9999999871396,-38277.3576911714,10921.990049706332,-27355.367641465065,292.1977748761235,23.2
699.9999999869032,-37855.999463609034,10961.390122926367,-26894.60934068267,292.1092566094967,23.2
