#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10.00000000000073,-4702.509380832266,1415.3059385556674,-3287.203442276599,291.26646962300566,0
19.99999999999874,-4809.28133154886,1421.2703186298795,-3388.0110129189807,291.9258796950009,37.7
29.999999999975433,-4899.050226212117,1392.7095677435955,-3506.3406584685217,288.16251973236314,37.6
40.00000000000897,-4707.5873602222155,1461.8716218352731,-3245.7157383869426,298.7563134271026,37.6
50.000000000056716,-4925.71846904873,1357.8378593323503,-3567.8806097163797,279.5321549547019,37.6
60.000000000104464,-4819.24052634168,1514.7033471118298,-3304.5371792298506,313.2654801680617,37.6
70.00000000015221,-4917.794112395966,1376.61634162317,-3541.177770772796,283.63872111482954,37.5
80.00000000019996,-4604.849842881031,1485.356931353817,-3119.492911527214,304.56719168493476,37.5
90.00000000024771,-4786.636937836457,1367.9660216111881,-3418.670916225269,281.51337897107425,37.5
100.00000000029546,-4773.576063619457,1448.3695936703143,-3325.206469949143,297.2494807973161,37.5
110.0000000003432,-4868.973938226569,1399.308986196977,-3469.664952029592,288.78249313577606,37.5
120.00000000039095,-4767.356070457916,1463.1202871174257,-3304.2357833404903,300.63148339311874,37.5
130.00000000038185,-4871.262391753537,1534.6338675208815,-3336.628524232655,313.4412802981548,37.5
140.00000000014538,-4864.8171304760735,1365.8750069383286,-3498.942123537745,282.7525402657513,37.5
149.9999999999089,-4663.6720756379245,1406.6033811022014,-3257.068694535723,293.6410163510857,37.5
159.99999999967244,-4944.8010716216995,1334.2960509074442,-3610.5050207142554,274.89166878836033,37.5
169.99999999943597,-4693.97324710757,1403.2486642304943,-3290.724582877076,287.41078220402187,37.5
179.9999999991995,-4891.577561095176,1365.483784936562,-3526.0937761586138,280.65420237830807,37.5
189.99999999896303,-4650.404979446996,1422.9294112642763,-3227.475568182719,293.1802638176667,37.5
199.99999999872657,-4862.932164722767,1518.8520185095008,-3344.0801462132663,313.35911331217943,37.5
209.9999999984901,-4829.051303709604,1430.2273701839094,-3398.823933525695,294.78262739892415,37.5
219.99999999825363,-4897.2008910081695,1474.9197349225165,-3422.281156085653,306.291337404906,37.6
229.99999999801716,-4710.034694192982,1466.3271195532573,-3243.707574639725,302.7638627737997,37.6
239.9999999977807,-4763.507789069069,1415.452180958754,-3348.055608110315,293.4386915304918,37.6
249.99999999754422,-4921.6751498297,1500.6704217941365,-3421.0047280355634,310.16423734009186,37.6
259.9999999973078,-4814.127529200009,1468.1539269855805,-3345.973602214429,304.2175494356103,37.6
269.9999999970713,-4763.365056627544,1352.6562917235026,-3410.7087649040413,281.08158134637955,37.6
279.99999999683484,-4921.607983629565,1434.9463509039049,-3486.6616327256597,292.2940344805402,37.6
289.9999999965984,-4807.815076971282,1453.917483005435,-3353.8975939658467,300.22438438285354,37.6
299.9999999963619,-4822.858783272473,1366.9421496208504,-3455.9166336516228,281.3710262245189,37.6
309.99999999612544,-4845.642281036458,1484.0604384110118,-3361.5818426254464,307.6023968539757,37.6
319.99999999588897,-4859.5586652126185,1344.104135052632,-3515.4545301599865,278.82448996799405,37.6
329.9999999956525,-5029.141741857415,1419.7969829614722,-3609.3447588959425,290.78898756278846,37.6
339.99999999541603,-4843.72441267554,1466.1881765421253,-3377.536236133415,302.17545097721,37.6
349.99999999517956,-4887.353896570577,1439.7274523253961,-3447.62644424518,296.4477340662854,37.6
359.9999999949431,-4927.610264066913,1520.4464814480696,-3407.1637826188435,312.6063962888356,37.6
369.9999999947066,-4736.739616982158,1505.6103541681857,-3231.1292628139718,310.8291719442991,37.6
379.99999999447016,-4807.999729790306,1456.9709461193224,-3351.028783670984,301.6016263610876,37.6
389.9999999942337,-4867.393833166605,1439.0155883520893,-3428.3782448145157,295.38122167310905,37.6
399.9999999939972,-4762.607281393198,1517.6233697605626,-3244.983911632635,313.13798331775354,37.6
409.99999999376075,-4863.661449846548,1440.4253685706656,-3423.2360812758825,296.63906919002625,37.6
