#"Step",  "Time (ps)",  "Potential Energy (kJ/mole)",  "Kinetic Energy (kJ/mole)",  "Total Energy (kJ/mole)",  "Temperature (K)",  "Speed (ns/day)"
220000,  110.0000000003432,  -34023.6349602631,  10687.836937676255,  -23335.798022586845,  285.7399663547459,  158
230000,  115.00000000036708,  -34598.46593815143,  11114.453975611304,  -23484.011962540124,  297.1445268497952,  158
240000,  120.00000000039095,  -34610.22749922056,  11254.460524618951,  -23355.766974601604,  300.28136869075666,  158
250000,  125.00000000041483,  -34234.321697278094,  11323.77179079688,  -22910.549906481214,  302.42803633114926,  158
260000,  130.00000000038185,  -33941.84295950916,  11133.633788409483,  -22808.209171099676,  298.0486245792098,  158
270000,  135.0000000002636,  -34588.834599207235,  11132.01022060304,  -23456.824378604193,  297.48189820021145,  158
280000,  140.00000000014538,  -34756.456895681265,  10969.400553227582,  -23787.05634245368,  292.8634270624199,  158
290000,  145.00000000002714,  -34616.289242223516,  10999.084925127227,  -23617.20431709629,  294.9582193936851,  158
300000,  149.9999999999089,  -34461.14025768464,  11067.738869757835,  -23393.401387926802,  296.1558445874016,  158
310000,  154.99999999979067,  -34272.884172948536,  11113.534029953897,  -23159.35014299464,  296.06720676215605,  158
320000,  159.99999999967244,  -34506.23837975493,  11179.978504942055,  -23326.259874812873,  298.7252141739599,  158
330000,  164.9999999995542,  -34268.140252028774,  10985.835516073483,  -23282.30473595529,  293.4395775756392,  158
340000,  169.99999999943597,  -34087.013121491276,  11251.800460111108,  -22835.212661380167,  301.0418401163627,  158
350000,  174.99999999931774,  -34255.042943160224,  10822.10509222673,  -23432.937850933493,  289.20080259102593,  158
360000,  179.9999999991995,  -34788.91354279836,  10864.780052128604,  -23924.133490669752,  290.7228695766753,  158
370000,  184.99999999908127,  -34697.024635626156,  11058.110841335007,  -23638.913794291147,  296.7766284176009,  158
380000,  189.99999999896303,  -34478.528770473,  11248.387438164393,  -23230.14133230861,  300.69318675384,  158
390000,  194.9999999988448,  -34282.237726225394,  11040.18469610145,  -23242.05303012394,  295.55342982724915,  158
400000,  199.99999999872657,  -34191.321522427825,  11025.503710335666,  -23165.81781209216,  293.0654427592262,  158
410000,  204.99999999860833,  -34859.82778512164,  11084.145279131626,  -23775.682505990015,  296.56996618922295,  158
420000,  209.9999999984901,  -33857.12532286044,  11296.45351830643,  -22560.67180455401,  301.78663663998265,  158
430000,  214.99999999837186,  -34956.3019575767,  10927.174971357661,  -24029.126986219042,  291.79467555320934,  158
440000,  219.99999999825363,  -34534.79764998637,  10884.62362827747,  -23650.174021708903,  291.8636904116193,  158
450000,  224.9999999981354,  -34445.9115520859,  10965.886972502361,  -23480.024579583536,  292.70527477262647,  158
460000,  229.99999999801716,  -34522.19900419056,  10990.378397977393,  -23531.820606213165,  294.21267285864394,  158
470000,  234.99999999789893,  -34086.959030357604,  10905.749896311192,  -23181.20913404641,  292.10524063232066,  158
480000,  239.9999999977807,  -34455.716106679836,  10935.59005403925,  -23520.126052640586,  291.9602923021554,  158
490000,  244.99999999766246,  -34696.30453156048,  10838.300032013178,  -23858.004499547307,  289.95227387451,  158
500000,  249.99999999754422,  -34662.112999419885,  10913.412374720412,  -23748.70062469947,  292.2455135635468,  158
510000,  254.999999997426,  -34538.655104626174,  11093.108547137159,  -23445.546557489015,  296.42678228028893,  158
520000,  259.9999999973078,  -34668.70665705745,  11052.753069251625,  -23615.95358780583,  295.61182284150004,  158
530000,  264.99999999718955,  -34666.016914656946,  10974.013160116836,  -23692.00375454011,  293.7778935705113,  158
540000,  269.9999999970713,  -34594.433015296774,  11172.560069870244,  -23421.87294542653,  299.17423324182994,  158
550000,  274.9999999969531,  -34438.181988866825,  11135.127026570528,  -23303.054962296297,  298.44934177206784,  158
560000,  279.99999999683484,  -34888.79571221135,  10837.47998684022,  -24051.315725371132,  290.51447080623404,  158
570000,  284.9999999967166,  -34430.28681509306,  11176.804778230317,  -23253.48203686274,  298.7444062861285,  158
580000,  289.9999999965984,  -34226.289417870415,  11099.694405450486,  -23126.59501241993,  297.61156683192837,  158
590000,  294.99999999648014,  -34604.61282801915,  11028.151214750384,  -23576.461613268766,  294.49442398668265,  158
600000,  299.9999999963619,  -34693.36843389361,  11034.205114694301,  -23659.163319199306,  294.5184259293418,  158
610000,  304.9999999962437,  -34645.88103380596,  11153.695355717675,  -23492.185678088288,  298.5525724114885,  158
620000,  309.99999999612544,  -34577.85687143742,  10841.517618289608,  -23736.33925314781,  290.3730588585956,  158
630000,  314.9999999960072,  -34947.82797767448,  10706.88984581685,  -24240.938131857634,  285.8045833833427,  158
640000,  319.99999999588897,  -34501.80389670286,  11064.277609216511,  -23437.52628748635,  295.7874505270703,  158
650000,  324.99999999577074,  -34870.30912777181,  11184.316515340406,  -23685.992612431408,  299.6779965250416,  158
660000,  329.9999999956525,  -34660.21084001673,  10969.691448758831,  -23690.519391257898,  293.3020508520886,  158
670000,  334.99999999553427,  -34608.06696333298,  11111.035156277898,  -23497.031807055086,  297.56361271693845,  158
680000,  339.99999999541603,  -34329.97874879117,  11159.492283736101,  -23170.486465055066,  298.405992622618,  158
690000,  344.9999999952978,  -34723.439120170624,  11142.834561846721,  -23580.604558323903,  297.7801723420864,  158
700000,  349.99999999517956,  -34814.61841110652,  10950.959598305644,  -23863.65881280088,  291.332496565155,  158
710000,  354.99999999506133,  -34403.30650938903,  11360.107046674355,  -23043.199462714678,  303.4128650470189,  158
720000,  359.9999999949431,  -34850.66460646004,  11209.42252776997,  -23641.242078690073,  298.70588376364077,  158
730000,  364.99999999482486,  -34297.29036338881,  11395.351997578286,  -22901.93836581053,  304.3340612077292,  158
740000,  369.9999999947066,  -34676.802247976295,  10760.141699664919,  -23916.660548311374,  288.0229518274413,  158
750000,  374.9999999945884,  -35019.049932466005,  10994.557569617526,  -24024.49236284848,  294.06668036321406,  158
760000,  379.99999999447016,  -34422.391016714726,  11117.735338484079,  -23304.655678230647,  296.8000480661046,  158
770000,  384.9999999943519,  -34483.607514421274,  11256.76644170912,  -23226.84107271215,  301.54467905333627,  158
780000,  389.9999999942337,  -34638.32977739199,  11301.906959336633,  -23336.42281805536,  301.68801616736897,  158
790000,  394.99999999411546,  -34447.9073867456,  11085.887743553423,  -23362.01964319218,  296.06270827495365,  158
800000,  399.9999999939972,  -34636.35485744126,  11065.24732362189,  -23571.107533819373,  296.04641752153714,  158
810000,  404.999999993879,  -34469.45280774498,  11071.281916081902,  -23398.170891663078,  296.23839410260047,  158
820000,  409.99999999376075,  -34790.39013679076,  11143.026481791718,  -23647.36365499904,  297.3028850870695,  158
830000,  414.9999999936425,  -34237.99141123491,  11006.877912125523,  -23231.113499109386,  293.94827400251285,  158
840000,  419.9999999935243,  -34418.11149543152,  11065.450031189423,  -23352.661464242097,  296.14380448482274,  158
850000,  424.99999999340605,  -34373.42152624114,  11043.402358388454,  -23330.019167852683,  295.97163830012624,  158
860000,  429.9999999932878,  -34268.3303246681,  10946.24630385864,  -23322.084020809463,  293.19527257706176,  158
870000,  434.9999999931696,  -34662.1761212004,  11146.427478759504,  -23515.748642440893,  298.1359243349296,  158
880000,  439.99999999305135,  -34750.93468760892,  11032.671695212339,  -23718.26299239658,  294.79059557635634,  158
890000,  444.9999999929331,  -34741.40840344406,  11172.39960251748,  -23569.008800926582,  297.59395197138497,  158
900000,  449.9999999928149,  -34363.6188912456,  11086.250156484632,  -23277.368734760967,  297.21811347563636,  158
910000,  454.99999999269664,  -34408.825326797654,  11065.925903269479,  -23342.899423528175,  295.83963857467444,  158
920000,  459.9999999925784,  -34842.298145122506,  10823.376739063824,  -24018.921406058682,  289.1994589052225,  158
930000,  464.9999999924602,  -34500.920505528324,  11203.971496274213,  -23296.94900925411,  300.07695539791746,  158
940000,  469.99999999234194,  -34571.70505757979,  10796.310951749658,  -23775.394105830135,  288.1163922623592,  158
950000,  474.9999999922237,  -34128.51548958821,  11058.6233985734,  -23069.892091014808,  296.2028348577645,  158
960000,  479.9999999921055,  -34476.51626088382,  11102.725514031012,  -23373.79074685281,  296.64174491715,  158
970000,  484.99999999198724,  -34854.57248218712,  11057.499443693985,  -23797.073038493134,  295.1629610017272,  158
980000,  489.999999991869,  -34702.87051001743,  10985.384437070348,  -23717.48607294708,  294.776503482142,  158
990000,  494.99999999175077,  -34485.438377296225,  11434.582233806728,  -23050.856143489495,  306.9206125693722,  158
1000000,  499.99999999163254,  -35007.94804259945,  10917.893846298482,  -24090.054196300967,  292.55655679949916,  158
1010000,  504.9999999915143,  -34139.19950574434,  10778.814284168799,  -23360.385221575543,  288.42661908653685,  158
1020000,  509.99999999139607,  -34379.078594288934,  11231.229427248209,  -23147.849167040724,  300.00424686090474,  158
1030000,  514.9999999912778,  -34658.46139505878,  11030.77431510041,  -23627.68707995837,  295.3607796471017,  158
1040000,  519.9999999911596,  -34770.36241839864,  11400.77581057487,  -23369.586607823767,  304.3793377249911,  158
1050000,  524.9999999910414,  -34403.08307739602,  11137.471926010667,  -23265.611151385354,  297.6463417904628,  158
1060000,  529.9999999909231,  -34563.20135411849,  11306.174864099856,  -23257.026490018638,  301.90309002223205,  158
1070000,  534.9999999908049,  -34649.269752868975,  11045.13323487657,  -23604.136517992403,  295.5342533399404,  158
1080000,  539.9999999906867,  -34470.9551823483,  11004.870145650466,  -23466.085036697834,  295.2904138584269,  158
1090000,  544.9999999905684,  -34146.473208215306,  11361.350535368609,  -22785.122672846697,  303.1714224237984,  158
