#"Step",  "Time (ps)",  "Potential Energy (kJ/mole)",  "Kinetic Energy (kJ/mole)",  "Total Energy (kJ/mole)",  "Temperature (K)",  "Speed (ns/day)"
13800000,  6900.0000011763395,  -34430.10232892224,  11046.653815338454,  -23383.44851358379,  295.1672294641461,  156
14000000,  7000.000001196712,  -34058.51352552331,  11082.101356266361,  -22976.41216925695,  296.38051024181203,  156
14200000,  7100.000001217085,  -34679.6969524587,  11096.748658227105,  -23582.94829423159,  296.7575997605343,  156
14400000,  7200.000001237458,  -34707.41662272004,  11197.687379448951,  -23509.72924327109,  298.99733711124685,  156
14600000,  7300.00000125783,  -34082.94103229029,  11092.487643398266,  -22990.453388892027,  296.3143765892939,  156
14800000,  7400.000001278203,  -34108.0789995392,  11110.055433515518,  -22998.02356602368,  296.66139459330884,  156
15000000,  7500.000001298576,  -34466.56473274689,  11240.431749887492,  -23226.1329828594,  300.1095928735882,  156
15200000,  7600.000001318948,  -34257.148088715694,  11254.668472302104,  -23002.47961641359,  301.32862789435063,  156
15400000,  7700.000001339321,  -34047.824401593585,  10968.46080714678,  -23079.363594446804,  293.853851817823,  156
15600000,  7800.000001359694,  -34352.80423304467,  11199.304650988552,  -23153.499582056116,  299.7209958383651,  156
15800000,  7900.000001380066,  -34260.78069174228,  11404.158421341004,  -22856.622270401276,  304.46867347998335,  156
16000000,  8000.000001400439,  -34093.20762395562,  10978.19004921401,  -23115.017574741607,  294.6007225554524,  156
16200000,  8100.000001420812,  -34159.490046260486,  11327.357562074054,  -22832.132484186433,  303.7962162642845,  156
16400000,  8200.000001441183,  -34787.24623700148,  10854.03795990375,  -23933.20827709773,  290.5714912581998,  156
16600000,  8300.000001461556,  -34576.263996685826,  11166.80544909861,  -23409.458547587215,  297.98786153864137,  156
16800000,  8400.000001481929,  -34624.78832218688,  11299.862906422939,  -23324.925415763944,  301.84423323689305,  156
17000000,  8500.000001502302,  -34524.977445345896,  11311.221641659127,  -23213.75580368677,  302.50909302398514,  156
17200000,  8600.000001522674,  -34621.35811212567,  11073.55384278559,  -23547.804269340082,  296.11987914632664,  156
17400000,  8700.000001543047,  -34371.10709302216,  11112.271013012545,  -23258.836080009616,  296.47645500181056,  156
17600000,  8800.00000156342,  -34200.8619061593,  11053.937928020614,  -23146.923978138686,  295.93114616907667,  156
17800000,  8900.000001583792,  -34291.319222173486,  11101.322303481536,  -23189.996918691948,  296.8740950203343,  156
18000000,  9000.000001604165,  -34404.3723616789,  11264.859917830207,  -23139.512443848693,  301.0578309612921,  156
18200000,  9100.000001624538,  -34484.83816612857,  11253.950450836694,  -23230.887715291872,  299.86103018783865,  156
18400000,  9200.00000164491,  -34578.06054336346,  11302.005038461131,  -23276.05550490233,  302.8793390650294,  156
18600000,  9300.000001665283,  -34359.88165500446,  11066.350102841585,  -23293.531552162873,  295.8825942661864,  156
18800000,  9400.000001685656,  -34300.274996705266,  10948.062259194177,  -23352.212737511087,  292.0493101786284,  156
19000000,  9500.000001706028,  -33960.3512576733,  11215.654133036309,  -22744.697124636987,  300.4510361804304,  156
19200000,  9600.000001726401,  -34559.02450888956,  10936.344802075864,  -23622.679706813695,  292.4529389436463,  156
19400000,  9700.000001746774,  -34357.699918348946,  10721.776192198646,  -23635.9237261503,  286.65910069148657,  156
19600000,  9800.000001767146,  -34106.156461630126,  10816.033194642101,  -23290.123266988026,  289.3774270000307,  156
19800000,  9900.000001787519,  -34888.62633400222,  11215.68352255853,  -23672.94281144369,  299.58828356971196,  156
20000000,  10000.000001807892,  -34840.17266002518,  11059.029126334226,  -23781.143533690953,  296.2774811517736,  156
20200000,  10100.000001828264,  -34658.1920531196,  10876.625006559309,  -23781.567046560293,  291.42493853793485,  156
20400000,  10200.000001848637,  -34648.672090514956,  10947.543824006134,  -23701.128266508822,  293.16728580975257,  156
20600000,  10300.00000186901,  -34575.31383750013,  10960.65473326745,  -23614.659104232676,  293.1264380165027,  156
20800000,  10400.000001889382,  -34538.68485192071,  10895.0532135647,  -23643.63163835601,  290.75756725805115,  156
21000000,  10500.000001909755,  -34352.49029616744,  11032.774226940452,  -23319.716069226986,  294.8922399835581,  156
21200000,  10600.000001930128,  -34190.83530054791,  10881.236935701621,  -23309.598364846286,  291.3353498396811,  156
21400000,  10700.0000019505,  -34583.14836424238,  11195.413899936879,  -23387.734464305497,  299.38091562765146,  156
21600000,  10800.000001970873,  -34214.602473912455,  10958.51143276311,  -23256.091041149346,  292.6171063353423,  156
21800000,  10900.000001991246,  -34479.227454780324,  10905.843200161416,  -23573.384254618908,  291.01812370876706,  156
22000000,  11000.000002011619,  -34503.0371555089,  11135.798988907367,  -23367.238166601535,  297.73952753847533,  156
22200000,  11100.000002031991,  -34039.617034635834,  10988.43469488276,  -23051.182339753075,  293.9022772258354,  156
22400000,  11200.000002052364,  -34826.07758538445,  10827.80243914875,  -23998.275146235705,  289.7912647636065,  156
22600000,  11300.000002072737,  -34474.88639748886,  11368.35289154098,  -23106.53350594788,  304.3949736031824,  156
22800000,  11400.00000209311,  -34272.529167957895,  11377.933766040062,  -22894.59540191783,  304.2575695286998,  156
23000000,  11500.000002113482,  -34471.94854951845,  11266.729756199013,  -23205.218793319436,  300.79268142989434,  156
23200000,  11600.000002133855,  -34475.77247992474,  11206.311468514199,  -23269.461011410538,  299.8417646755586,  156
