#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
589.9999999895043,-37009.92182791628,11242.402641833838,-25767.51918608244,300.18622350548327,14.8
599.9999999892678,-36773.97363737013,11066.969229781635,-25707.004407588494,295.65700601052924,14.8
609.9999999890314,-36299.38972187867,11012.433529011667,-25286.95619286701,293.45228246924853,14.8
619.9999999887949,-36668.29288200471,11078.328995330065,-25589.963886674646,296.40468915127497,14.8
629.9999999885584,-36724.73575161473,11103.71582980903,-25621.019921805702,296.7988789726018,14.8
639.999999988322,-36487.28911615856,11039.244167780118,-25448.04494837844,294.50740415459427,14.8
649.9999999880855,-36573.861020649536,11287.425139072067,-25286.43588157747,301.1318778928368,14.8
659.999999987849,-37172.31849069645,10953.297246104694,-26219.021244591757,291.5215663605475,14.8
669.9999999876126,-36529.70486471767,11470.719083126296,-25058.985781591375,306.18864522450934,14.8
679.9999999873761,-36573.47214666153,10860.598233419258,-25712.87391324227,290.08842463626905,14.8
689.9999999871396,-36413.304734637764,10901.546563558026,-25511.75817107974,291.45119660058435,14.8
699.9999999869032,-36163.314946479644,10871.926723800367,-25291.388222679278,290.84302007371906,14.8
709.9999999866667,-37289.03288482539,11075.47588694273,-26213.55699788266,296.54308498404754,14.8
719.9999999864302,-36785.23065036141,10871.595412314487,-25913.63523804692,290.58726100813897,14.8
729.9999999861938,-36880.0249741323,11083.916384676937,-25796.10858945536,296.2594979654549,14.8
739.9999999859573,-36806.70220835734,11167.345944959341,-25639.356263397996,298.3761490747964,14.8
749.9999999857208,-36483.15937535177,11124.239770381337,-25358.919604970437,298.1915031285492,14.8
759.9999999854844,-36807.14012706041,11085.461732097388,-25721.678394963023,295.70516938956877,14.8
769.9999999852479,-36163.95404382456,11169.32371015522,-24994.630333669338,298.76609471822565,14.8
779.9999999850114,-36180.052294079804,11172.253686375578,-25007.798607704226,297.9545466326541,14.8
789.999999984775,-36568.10351953387,11195.527993392972,-25372.5755261409,299.17993814625345,14.8
799.9999999845385,-36510.09756110372,11525.269977578002,-24984.82758352572,308.74539154973394,14.8
809.999999984302,-36340.44996362613,11208.240806640611,-25132.20915698552,298.7414857804696,14.8
819.9999999840655,-36678.126542114594,11348.7154453362,-25329.411096778393,303.48454720784395,14.8
829.9999999838291,-36954.48717554577,10895.152437680334,-26059.334737865436,291.8829389593114,14.8
839.9999999835926,-37004.01728863561,11227.533459992565,-25776.483828643046,299.5090925060319,14.8
849.9999999833561,-36305.43002933606,11032.326164964006,-25273.103864372053,294.9844833184746,14.8
859.9999999831197,-36856.16363234389,11344.954125899852,-25511.209506444036,302.1818029502503,14.8
869.9999999828832,-36651.9931777768,11280.895888867106,-25371.097288909696,301.12590680419584,14.8
